section,offence,description
370,Resumption of inquiry or trial,"(1) Whenever an inquiry or a trial is postponed under section 367 or section 368, the Magistrate or Cou rt, as the case may be, may at any time after the person concerned has ceased to be of unsound mind, resume the inquiry or trial and require the accused to appear or be brought before such Magistrate or Court. (2) When the accused has been released under section 369, and the sureties for his appearance produce him to the officer whom the Magistrate or Court appoints in this behalf, the certificate of such officer that the accused is capable of making his defence shall be receivable in evidence."
371,Procedure on accused appearing before Magistrate or Court,"(1) If, when the accused appears or is again brought before the Magistrate or Court, as the case may be, the Magistrate or Court considers him capable of making his defence, the inquiry or trial shall proceed. (2) If the Magistrate or Court considers the accused to be still incapable of making his defence, the Magistrate or Court shall act according to the provisions of section 367 or section 368, as the case may be, and if the accused is found to be of unsound mind and consequently incapable of making his defence, shall deal with such accused in accordance with the provisions of section 369."
372,When accused appears to have been of sound mind,"When the accused appears to be of sound mind at the time of inquiry or trial, and the Magistrate is satisfied from the evidence given before him that there is reason to believe that the accused committed an act, which, if he had been of sound mind, would have been an offence, and that he was, at the time when the act was committed, by reason of unsoundness of mind, incapable of knowing the nature of the act or that it was wrong or contrary to law, the Magistrate shall proceed with the case, and, if the accused ought to be tried by the Court of Session, commit him for trial before the Court of Session."
373,Judgment of acquittal on ground of unsoundness of mind,"Whenever any person is acquitted upon the ground that, at the time at which he is alleged to have committed an offence, he was, by reason of unsoundness of mind, incapable of knowing the nature of the act alleged as constituting the offence, or that it was wrong or contrary to law, the finding shall state specifically whether he committed the act or not."
374,Person acquitted on ground of unsoundness of mind to be detained in safe custody,"(1) Whenever the finding states that the accused person committed the act alleged, the Magistrate or Court before whom or which the trial has been held, shall, if such act would, but for the incapacity found, have constituted an offence,— (a) order such person to be detained in safe custody in such place and manner as the Magistrate or Court thinks fit; or (b) order such person to be delivered to any relative or friend of such person. (2) No order for the detention of the accuse d in a public mental health establishment shall be made under clause (a) of sub-section (1) otherwise than in accordance with such rules as the State Government may have made under the Mental Healthcare Act, 2017 (10 of 2017). (3) No order for the delivery of the accused to a relative or friend shall be made under clause (b) of sub- section (1) except upon the application of such relative or friend and on his giving security to the satisfaction of the Magistrate or Court that the person delivered shall— (a) be properly taken care of and prevented from doing injury to himself or to any other person; (b) be produced for the inspection of such officer, and at such times and places, as the State Government may direct. (4) The Magistrate or Court shall report to t he State Government the action taken under sub-section (1)."
375,Power of State Government to empower officer in charge to discharge,The State Government may empower the officer in charge of the jail in which a person is confined under the provisions of section 369 or section 374 to discharge all or any of the functions of the Inspector-General of Prisons under section 376 or section 377.
376,Procedure where prisoner of unsound mind is reported capable of making his defence,"If a person is detained under the provisions of sub -section (2) of section 369, and in the case of a person detained in a jail, the Inspector -General of Prisons, or, in the case of a person detained in a public mental health establishment, the Mental Health Review Board constituted under the Mental Healthcare Act, 2017 (10 of 2017), shall certify that, in his or their opinion, such person is capable of making his defence, he shall be taken before the Magistrate or Court, as the case may be, at such time as the Magistrate or Court appoints, and the Magistrate or Court shall deal with such person under the provisions of section 371; and the certificate of such Inspector-General or visitors as aforesaid shall be receivable as evidence."
377,Procedure where person of unsound mind detained is declared fit to be released,"(1) If a person is detained under the provisions of sub-section (2) of section 369, or section 374, and such Inspector- General or visitors shall certify that, in his or their judgment, he may be released without danger of his doing injury to himself or to any other person, the State Government may thereupon order him to be released, or to be detained in custody, or to be transferred to a public mental health establishment if he has not been already sent to such establishment; and, in case it orders him to be transferred to a public mental health establishment, may appoint a Commission, consisting of a Judicial and two medical officers. (2) Such Commission shall make a formal inquiry into th e state of mind of such person, take such evidence as is necessary, and shall report to the State Government, which may order his release or detention as it thinks fit."
378,Delivery of person of unsound mind to care of relative or friend,"(1) Whenever any relative or friend of any person detained under the provisions of section 369 or section 374 desires that he shall be delivered to his care and custody, the State Government may, upon the application of such relative or friend and on his giving security to the satisfaction of such State Government, that the person delivered shall— (a) be properly taken care of and prevented from doing injury to himself or to any other person; (b) be produced for the inspection of such officer, and at such times and places, as the State Government may direct; (c) in the case of a person detained under sub-section (2) of section 369, be produced when required before such Magistrate or Court, order such person to be delivered to such relative or friend. (2) If the person so delivered is accused of any offence, the trial of which has been postponed by reason of his being of unsound mind and incapable of making his defence, and the inspecting officer referred to in clause (b) of sub-section (1), certifies at any time to the Magistrate or Court that such person is capable of making his defence, such Magistrate or Court shall call upon the relative or friend to whom such accused was delivered to produce him before the Magistrate or Court; and, upon such production the Magistrate or Court shall proceed in accordance with the provisions of section 371, and the certificate of the inspecting officer shall be receivable as evidence. PROVISIONS AS TO OFFENCES AFFECTING THE ADMINISTRATION OF JUSTICE"
379,Procedure in cases mentioned in section 215,"(1) When, upon an application made to it in this behalf or otherwise, any Court is of opinion that it is expedient in the interests of justice that an inquiry should be made into any offence referred to in claus e (b) of sub-section (1) of section 215, which appears to have been committed in or in relation to a proceeding in that Court or, as the case may be, in respect of a document produced or given in evidence in a proceeding in that Court, such Court may, afte r such preliminary inquiry, if any, as it thinks necessary,— (a) record a finding to that effect; (b) make a complaint thereof in writing; (c) send it to a Magistrate of the first class having jurisdiction; (d) take sufficient security for the appearance of the accused before such Magistrate, or if the alleged offence is non-bailable and the Court thinks it necessary so to do, send the accused in custody to such Magistrate; and (e) bind over any person to appear and give evidence before such Magistrate. (2) The power conferred on a Court by sub-section (1) in respect of an offence may, in any case where that Court has neither made a complaint under sub -section (1) in respect of that offence nor rejected an application for the making of such complaint, be exercised by the Court to which such former Court is subordinate within the meaning of sub-section (4) of section 215."
380,Appeal,"(1) Any person on whose application any Court other than a High Court has refused to make a complaint under sub-section (1) or sub-section (2) of section 379, or against whom such a complaint has been made by such Court, may appeal to the Court to which such former Court is subordinate within the meaning of sub -section (4) of section 215, and the superior Court may thereupon, after notice to the parties concerned, direct the withdrawal of the complaint, or, as the case may be, making of the complaint which such former Court might have made under section 379, and, if it makes such complaint, the provisions of that section shall apply accordingly. (2) An order under this section, and subject to any such order, an order under section 379, shall be final, and shall not be subject to revision."
381,Power to order costs,"Any Court dealing with an application made to it for filing a complaint under section 379 or an appeal under section 380, shall have power to make such order a s to costs as may be just."
382,Procedure of Magistrate taking cognizance,"(1) A Magistrate to whom a complaint is made under section 379 or section 380 shall, notwithstanding anything contained in Chapter XVI, proceed, as far as may be, to deal with the case as if it were instituted on a police report. (2) Where it is brought to the notice of such Magistrate, or of any other Magistrate to whom the case may have been transferred, that an appeal is pending against the decision arrived at in the judicial proceeding out of which the matter has arisen, he may, if he thinks fit, at any stage, adjourn the hearing of the case until such appeal is decided."
383,Summary procedure for trial for giving false evidence,"(1) If, at the time of delivery of any judgment or final order disposing of any judicial proceeding, a Court of Session or Magistrate of the first class expresses an opinion to the effect that any witness appearing in such proceeding had knowingly or wilfully given false evidence or had fabricated false evidence with the intention that such evidence should be used in such proceeding, it or he may, if satisfied that it is necessary and expedient in the interest of justice that the witness should be tried summarily for giving or fabricating, as the case may b e, false evidence, take cognizance of the offence and may, after giving the offender a reasonable opportunity of showing cause why he should not be punished for such offence, try such offender summarily and sentence him to imprisonment for a term which may extend to three months, or to fine which may extend to one thousand rupees, or with both. (2) In every such case the Court shall follow, as nearly as may be practicable, the procedure prescribed for summary trials. (3) Nothing in this section shall affect the power of the Court to make a complaint under section 379 for the offence, where it does not choose to proceed under this section."
384,Procedure in certain cases of contempt,"(1) When any such offence as is described in section 210 , section 213 , section 214 , section 215 or section 267 of the Bharatiya Nyaya Sanhita, 2023 (45 of 2023) is committed in the view or presence of any Civil, Criminal, or Revenue Court, the Court may cause the offender to be detained in custody, and may, at any time before the rising of the Court on the same day, take cognizance of the offence and, a fter giving the offender a reasonable opportunity of showing cause why he should not be punished under this section, sentence the offender to fine not exceeding one thousand rupees, and, in default of payment of fine, to simple imprisonment for a term which may extend to one month, unless such fine be sooner paid. (2) In every such case the Court shall record the fact constituting the offence, with the statement (if any) made by the offender, as well as the finding and sentence. (3) If the offence is under section 267 of the Bharatiya Nyaya Sanhita, 2023 (45 of 2023), the record shall show the nature and stage of the judicial proceeding in which the Court interrupted or insulted was sitting, and the nature of the interruption or insult."
385,Procedure where Court considers that case should not be dealt with under section 384,"(1) If the Court in any case considers that a person accused of any of the offences referre d to in section 384 and committed in its view or presence should be imprisoned otherwise than in default of payment of fine, or that a fine exceeding two hundred rupees should be imposed upon him, or such Court is for any other reason of opinion that the c ase should not be disposed of under section 384, such Court, after recording the facts constituting the offence and the statement of the accused as hereinbefore provided, may forward the case to a Magistrate having jurisdiction to try the same, and may req uire security to be given for the appearance of such person before such Magistrate, or if sufficient security is not given, shall forward such person in custody to such Magistrate. (2) The Magistrate to whom any case is forwarded under this section shall proceed to deal with, as far as may be, as if it were instituted on a police report."
386,When Registrar or Sub-Registrar to be deemed a Civil Court,"When the State Government so directs, any Registrar or any Sub -Registrar appointed under the Registration A ct, 1908 (16 of 1908), shall be deemed to be a Civil Court within the meaning of sections 384 and 385."
387,Discharge of offender on submission of apology,"When any Court has under section 384 adjudged an offender to punishment, or has under section 385 forwarded him to a Magistrate for trial, for refusing or omitting to do anything which he was lawfully required to do or for any intentional insult or interruption, the Court may, in its discretion, discharge the offender or remit the punishment on his submission to the order or requisition of such Court, or on apology being made to its satisfaction."
388,Imprisonment or committal of person refusing to answer or produce document,"If any witness or person called to produce a document or thing before a Crimin al Court refuses to answer such questions as are put to him or to produce any document or thing in his possession or power which the Court requires him to produce, and does not, after a reasonable opportunity has been given to him so to do, offer any reasonable excuse for such refusal, such Court may, for reasons to be recorded in writing, sentence him to simple imprisonment, or by warrant under the hand of the Presiding Magistrate or Judge commit him to the custody of an officer of the Court for any term not exceeding seven days, unless in the meantime, such person consents to be examined and to answer, or to produce the document or thing and in the event of his persisting in his refusal, he may be dealt with according to the provisions of section 384 or section 385."
389,Summary procedure for punishment for non -attendance by a witness in obedience to summons,"(1) If any witness being summoned to appear before a Criminal Court is legally bound to appear at a certain place and time in obedience to the summons and without just excuse neglects or refuses to attend at that place or time or departs from the place where he has to attend before the time at which it is lawful for him to depart, and the Court before which the witness is to appear is satisfied that it is expedient in the interests of justice that such a witness should be tried summarily, the Court may take cognizance of the offence and after giving the offender an opportunity of showing cause why he should not be punished under this section, sentence him to fine not exceeding five hundred rupees. (2) In every such case the Court shall follow, as nearly as may be practicable, the procedure prescribed for summary trials."
390,"Appeals from convictions under sections 383, 384, 388 and 389","(1) Any person sentenced by any Court other than a High Court under section 383, section 384, section 388, or section 389 may, notwithstanding anything contained in this Sanhita appeal to the Court to which decrees or orders made in such Court are ordinarily appealable. (2) The provisions of Chapter XXXI shall, so far as they are applicable, apply to appeals under this section, and the Appellate Court may alter or reverse the finding, or reduce or reverse the sentence appealed against. (3) An appeal from such conviction by a Court of Small Causes shall lie to the Court of Session for the sessions division within which such Court is situate. (4) An appeal from such conviction by any Registrar or Sub -Registrar deemed to be a Civil Court by virtue of a direction issued under section 386 shall lie to the Court of Session for the sessions division within which the office of such Registrar or Sub-Registrar is situate."
391,Certain Judges and Magistrates not to try certain offences when committed before themselves,"Except as provided in sections 383, 384, 388 and 389, no Judge of a Criminal Court (other than a Judge of a High Court) or Magistrate shall try any person for any offence referred to in section 215, when such offence is committed before himself or in contemp t of his authority, or is brought under his notice as such Judge or Magistrate in the course of a judicial proceeding. THE JUDGMENT"
392,Judgment,"(1) The judgment in every trial in any Criminal Court of original jurisdiction shall be pronounced in open Court by the presiding officer immediately after the termination of the trial or at some subsequent time not later than forty -five days of which notice shall be given to the parties or their advocates,— (a) by delivering the whole of the judgment; or (b) by reading out the whole of the judgment; or (c) by reading out the operative part of the judgment and explaining the substance of the judgment in a language which is understood by the accused or his advocate. (2) Where the judgment is delivered under clause (a) of sub-section (1), the presiding officer shall cause it to be taken down in short-hand, sign the transcript and every page thereof as soon as it is made ready, and write on it the date of the delivery of the judgment in open Court. (3) Where the judgment or the operative part thereof is read out under clause ( b) or clause ( c) of sub-section (1), as the case may be, it shall be dated and signed by the presiding officer in open Court, and if it is not written with his own hand, every page of the judgment shall be signed by him. (4) Where the judgment is pronounced in the manner specified in clause ( c) of su b-section (1), the whole judgment or a copy thereof shall be immediately made available for the perusal of the parties or their advocates free of cost: Provided that the Court shall, as far as practicable, upload the copy of the judgment on its portal within a period of seven days from the date of judgment."
393,Language and contents of judgment,"(1) Except as otherwise expressly provided by this Sanhita, every judgment referred to in section 392,— (a) shall be written in the language of the Court; (b) shall contain the point or points for determination, the decision thereon and the reasons for the decision; (c) shall specify the offence (if any) of which, and the section of the Bharatiya Nyaya Sanhita, 2023 (45 of 2023) or other law under which, the accused is convicted, and the punishment to which he is sentenced; (d) if it be a judgment of acquittal, shall state the offence of which the accused is acquitted and direct that he be set at liberty. (2) When the conviction is under the Bharatiya Nyaya Sanhita, 2023 (45 of 2023) and it is doubtful under which of two sections, or under which of two parts of the same section, of that Sanhita the offence falls, the Court shall distinctly express the same, and pass judgment in the alternative. (3) When the conviction is for an offence punishable with death or, in the alternative, w ith imprisonment for life or imprisonment for a term of years, the judgment shall state the reasons for the sentence awarded, and, in the case of sentence of death, the special reasons for such sentence. (4) When the conviction is for an offence punishable with imprisonment for a term of one year or more, but the Court imposes a sentence of imprisonment for a term of less than three months, it shall record its reasons for awarding such sentence, unless the sentence is one of imprisonment till the rising of the Court or unless the case was tried summarily under the provisions of this Sanhita."
394,Order for notifying address of previously convicted offender,"(1) When any person, having been convicted by a Court in India of an offence punishable with imprisonment for a term of three years, or upwards, is again convicted of any offence punishable with imprisonment for a term of three years or upwards by any Court other than that of a Magistrate of the second class, such Court may, if it thinks fit, at the time of passing a sentence of imprisonment on such person, also order that his residence and any change of, or absence from, such residence after release be notified as hereinafter provided for a term not exceeding five years from the date of the expiration of such sentence. (2) The provisions of sub-section (1) shall also apply to criminal conspiracies to commit such offences and to the abetment of such offences and attempts to commit them. (3) If such conviction is set aside on appeal or otherwise, such order shall become void. (4) An order under this section may also be made by an Appellate Court or by the High Court or Court of Session when exercising its powers of revision. (5) The State Government may, by notification, make rules to carry out the provisions of this section relating to the notification of residence or change of, or absence from, residence by released convicts. (6) Such rules may provide for punishment for the breach thereof and any person charged with a breach of any such rule may be tried by a Magistrate of competent jurisdiction in the district in which the place last notified by him as his place of residence is situated."
395,Order to pay compensation,"(1) When a Court imposes a sentence of fine or a sentence (including a sentence of death) of which fine forms a part, the Court may, when passing judgment, order the whole or any part of the fine recovered to be applied— (a) in defraying the expenses properly incurred in the prosecution; (b) in the payment to any person of compensation for any loss or injury caused by the offence, when compensation is, in the opinion of the Court, recoverable by such person in a Civil Court; (c) when any person is convicted of any offence for having caused the death of another person or of having abetted the commission of such an offence, in paying compensation to the persons who are, under the Fatal Accidents Act, 1855 (13 of 1855), entitled to r ecover damages from the person sentenced for the loss resulting to them from such death; (d) when any person is convicted of any offence which includes theft, criminal misappropriation, criminal breach of trust, or cheating, or of having dishonestly receiv ed or retained, or of having voluntarily assisted in disposing of, stolen property knowing or having reason to believe the same to be stolen, in compensating any bona fide purchaser of such property for the loss of the same if such property is restored to the possession of the person entitled thereto. (2) If the fine is imposed in a case which is subject to appeal, no such payment shall be made before the period allowed for presenting the appeal has elapsed, or, if an appeal be presented, before the decision of the appeal."
396,Victim compensation scheme,"(1) Every State Government in co -ordination with the Central Government shall prepare a scheme for providing funds for the purpose of compensation to the victim or his dependents who have suffered loss or injury as a result of the crime and who require rehabilitation. (2) Whenever a recomme ndation is made by the Court for compensation, the District Legal Service Authority or the State Legal Service Authority, as the case may be, shall decide the quantum of compensation to be awarded under the scheme referred to in sub-section (1). (3) If the trial Court, at the conclusion of the trial, is satisfied, that the compensation awarded under section 395 is not adequate for such rehabilitation, or where the cases end in acquittal or discharge and the victim has to be rehabilitated, it may make recommendation for compensation. (4) Where the offender is not traced or identified, but the victim is identified, and where no trial takes place, the victim or his dependents may make an application to the State or the District Legal Services Authority for award of compensation. (5) On receipt of such recommendations or on the application under sub -section (4), the State or the District Legal Services Authority shall, after due enquiry award adequate compensation by completing the enquiry within two months."
397,Treatment of victims,"All hospitals, public or private, whether run by the Central Government, the State Government, local bodies or any other person, shall immediately, provide the first-aid or medical treatment, free of c ost, to the victims of any offence covered under section 64 , section 65 , section 66, section 67, section 68, section 70, section 71 or sub-section (1) of section 124 of the Bharatiya Nyaya Sanhita, 2023 (45 of 2023) or under sections 4, 6, 8 or section 10 of the Protection of Children from Sexual Offences Act, 2012 (32 of 2012), and shall immediately inform the police of such incident."
398,Witness protection scheme,Every State Government shall prepare and notify a Witness Protection Scheme for the State with a view to ensure protection of the witnesses.
399,Compensation to persons groundlessly arrested,"(1) Whenever any person causes a police officer to arrest another person, if it appears to the Magistrate by whom the case is heard that there was no sufficient ground for causing such arrest, the Magistrate may award such compensation, not exceeding one thousand rupees, to be paid by the person so causing the arrest to the person so arrested, for his loss of time and expenses in the matter, as the Magistrate thinks fit. (2) In such cases, if more persons than one are arrested, the Magistrate may, in like manner, award to each of them such compensation, not exceeding one thousand rupees, as such Magistrate thinks fit. (3) All compensation awarded under this section may be recovered as if it were a fine, and, if it cannot be so recovered, the person by whom it is payable shall be sentenced to simple imprisonment for such term not exceeding thirty days as the Magistrate directs, unless such sum is sooner paid."
400,Order to pay costs in non-cognizable cases,"(1) Whenever any complaint of a non-cognizable offence is made to a Court, the Court, if it convicts the accused, may, in addition to the penalty imposed upon him, order him to pay to th e complainant, in whole or in part, the cost incurred by him in the prosecution, and may further order that in default of payment, the accused shall suffer simple imprisonment for a period not exceeding thirty days and such costs may include any expenses i ncurred in respect of process-fees, witnesses and advocate's fees which the Court may consider reasonable. (2) An order under this section may also be made by an Appellate Court or by the High Court or Court of Session when exercising its powers of revision."
401,Order to release on probation of good conduct or after admonition,"(1) When any person not under twenty-one years of age is convicted of an offence punishable with fine only or with imprisonment for a term of seven years or less, or when any person under twenty -one years of age or any woman is convicted of an offence not punishable with death or imprisonment for life, and no previous conviction is proved against the offender, if it appears to the Court before which he is convicted, regard being had to the age, character or antecedents of the offender, and to the circumstances in which the offence was committed, that it is expedient that the offender should be released on probation of good conduct, the Court may, instead of sentencing him at once to any punishment, direct that he be released on his entering into a bond or bail bond to appear and receive sentence when called upon during such period (not exceeding three years) as the Court may direct, and in the meantime to keep the peace and be of good behavior: Provided that where any first offender is convicted by a Magistrate of the second class not specially empowered by the High Court, and the Magistrate is of opinion that the powers conferred by this section should be exercised, he shall record his opinion to that effect, and submit the proceedings to a Magistrate of the first class, forwarding the accused to, or taking bail for his appearance before, such Magistrate, who shall dispose of the case in the manner provided by sub-section (2)."
402,Special reasons to be recorded in certain cases,"Where in any case the Court could have dealt with,— (a) an accused person under section 401 or under the provisions of the Probation of Offenders Act, 1958 (20 of 1958); or (b) a youthful offender under the Juvenile Justice (Care and Protection of Children ) Act, 2015 (2 of 2016) or any other law for the time being in force for the treatment, training or rehabilitation of youthful offenders, but has not done so, it shall record in its judgment the special reasons for not having done so."
403,Court not to alter judgment,"Save as otherwise provided by this Sanhita or by any other law for the time being in force, no Court, when it has signed its judgment or final order disposing of a case, shall alter or review the same except to correct a clerical or arithmetical error."
404,Copy of judgment to be given to accused and other persons,"(1) When the accused is sentenced to imprisonment, a copy of the judgment shall, immediately after the pronouncement of the judgment, be given to him free of cost. (2) On the application of the accused, a certified copy of the judgment, or when he so desires, a translation in his own language if practicable or in the language of the Court, shall be given to him without delay, and such copy shall, in every case where the judgment is appealable by the accused, be given free of cost: Provided that where a sentence of death is passed or confirmed by the High Court, a certified copy of the judgment shall be immediately given to the accused free of cost whether or not he applies for the same. (3) The provisions of sub-section (2) shall apply in relation to an order under section 136 as they apply in relation to a judgment which is appealable by the accused. (4) When the accused is sentenced to death by any Court and an appeal lies from such judgment as of right, the Court shall inform him of the period within which, if he wishes to appeal, his appeal should be preferred."
405,Judgment when to be translated,"The original judgment shall be filed with the record of the proceedings and where the original is recorded in a language different from that of the Court, and if either party so requires, a translation thereof into the language of the Court shall be added to such record."
406,Court of Session to send copy of finding and sentence to District Magistrate,"In cases tried by the Court of Session or a Chief Judicial Magistrate, the Court or such Magistrate, as the case may be, shall forward a copy of its or his finding and sentence (if any) to the District Magistrate within whose local jurisdiction the trial was held. SUBMISSION OF DEATH SENTENCES FOR CONFIRMATION"
407,Sentence of death to be submitted by Court of Session for confirmation,"(1) When the Court of Session passes a sentence of death, the proceedings shall forthwith be submitted to the High Court, and the sentence shall not be executed unless it is confirmed by the High Court. (2) The Court passing the sentence shall commit the convicted person to jail custody under a warrant."
408,Power to direct further inquiry to be made or additional evidence to be taken,"(1) If, when such proceedings are submitted, the High Court thinks that a further inquiry should be made into, or additional evidence taken upon, any point bearing upon the guilt or innocence of the convicted person, it may make such inquiry or take such evidence itself, or direct it to be made or taken by the Court of Session. (2) Unless the High Court otherwise directs, the presence of the convic ted person may be dispensed with when such inquiry is made or such evidence is taken. (3) When the inquiry or evidence (if any) is not made or taken by the High Court, the result of such inquiry or evidence shall be certified to such Court."
409,Power of High Court to confirm sentence or annul conviction,"In any case submitted under section 407, the High Court— (a) may confirm the sentence, or pass any other sentence warranted by law; or (b) may annul the conviction, and convict the accused of any offence of which the Court of Session might have convicted him, or order a new trial on the same or an amended charge; or (c) may acquit the accused person: Provided that no order of confirmation shall be made under this section until the period allowed for preferring an appeal has expired, or, if an appeal is presented within such period, until such appeal is disposed of."
410,Confirmation or new sentence to be signed by two Judges,"In every case so submitted, the confirmation of the sentence, or any new sentence or order passed by the High Court, shall, when such Court consists of two or more Judges, be made, passed and signed by at least two of them."
411,Procedure in case of difference of opinion,"Where any such case is heard before a Bench of Judges and such Judges are equally divided in opinion, the case shall be decided in the manner provided by section 433."
412,Procedure in cases submitted to High Court for confirmation,"In cases submitted by the Court of Session to the High Court for the confirmation of a s entence of death, the proper officer of the High Court shall, without delay, after the order of confirmation or other order has been made by the High Court, send either physically, or through electronic means, a copy of the order, under the seal of the Hig h Court and attested with his official signature, to the Court of Session. APPEALS"
413,No appeal to lie unless otherwise provided,"No appeal shall lie from any judgment or order of a Criminal Court except as provided for by this Sanhita or by any other law for the time being in force: Provided that the victim shall have a right to prefer an appeal against any order passed by the Court acquitting the accused or convicting for a lesser offence or imposing inadequate compensation, and such appeal shall lie to the Court to which an appeal ordinarily lies against the order of conviction of such Court."
414,Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behavior,"Any person, — (i) who has been ordered under section 136 to give security for keeping the peace or for good behaviour; or (ii) who is aggrieved by any order refusing to accept or rejecting a surety under section 140, may appeal against such order to the Court of Session: Provided that nothing in this section shall apply to persons the proceedings against whom are laid before a Sessions Judge in accordance with the provisions of sub-section (2) or sub-section (4) of section 141."
415,Appeals from convictions,"(1) Any perso n convicted on a trial held by a High Court in its extraordinary original criminal jurisdiction may appeal to the Supreme Court. (2) Any person convicted on a trial held by a Sessions Judge or an Additional Sessions Judge or on a trial held by any other Co urt in which a sentence of imprisonment for more than seven years has been passed against him or against any other person convicted at the same trial, may appeal to the High Court. (3) Save as otherwise provided in sub-section (2), any person,-- (a) convicted on a trial held by Magistrate of the first class, or of the second class; or (b) sentenced under section 364; or (c) in respect of whom an order has been made or a sentence has been passed under section 401 by any Magistrate, may appeal to the Court of Session. (4) When an appeal has been filed against a sentence passed under section 64, section 65, section 66, section 67, section 68, section 70 or section 71 of the Bharatiya Nyaya Sanhita, 2023, the appeal shall be disposed of within a period of six months from the date of filing of such appeal."
416,No appeal in certain cases when accused pleads guilty,"Notwithstanding anything in section 415, where an accused person has pleaded guilty and has been convicted on such plea, there shall be no appeal,— (i) if the conviction is by a High Court; or (ii) if the conviction is by a Court of Session or Magistrate of the first or second class, except as to the extent or legality of the sentence."
417,No appeal in petty cases,"Notwithstanding anything in section 415, there shall be no appeal by a convicted person in any of the following cases, namely: — (a) where a High Court passes only a sentence of imprisonment for a term not exceeding three months or of fine not exceeding one thousand rupees, or of both such imprisonment and fine; (b) where a Court of Session passes only a sentence of imprisonment for a term not exceeding three months or of fine not exceeding two hundred rupees, or of both such imprisonment and fine; (c) where a Magistrate of the first class passes only a sentence of fine not exceeding one hu ndred rupees; or (d) where, in a case tried summarily, a Magistrate empowered to act under section 283 passes only a sentence of fine not exceeding two hundred rupees: Provided that an appeal may be brought against any such sentence if any other punishment is combined with it, but such sentence shall not be appealable merely on the ground— (i) that the person convicted is ordered to furnish security to keep the peace; or (ii) that a direction for imprisonment in default of payment of fine is included in the sentence; or (iii) that more than one sentence of fine is passed in the case, if the total amount of fine imposed does not exceed the amount hereinbefore specified in respect of the case."
418,Appeal by State Government against sentence,"(1) Save as otherwise provided in sub-section (2), the State Government may, in any case of conviction on a trial held by any Court other than a High Court, direct the Public Prosecutor to present an appeal against the sentence on the ground of its inadequacy— (a) to the Court of Session, if the sentence is passed by the Magistrate; and (b) to the High Court, if the sentence is passed by any other Court. (2) If such conviction is in a case in which the offence has been investigated by any agency empowered to make investigation into an offence under any Central Act other than this Sanhita, the Central Government may also direct the Public Prosecutor to present an appeal against the sentence on the ground of its inadequacy— (a) to the Court of Session, if the sentence is passed by the Magistrate; and (b) to the High Court, if the sentence is passed by any other Court. (3) When an appeal has been filed against the sentence on the ground of its inadequacy, the Court of Session or, as the case may be, the High Court shall not enhance the sentence except after giving to the accused a reasonable opportunity of showing cause against such enhancement and while showing cause, the accused may plead for his acquittal or for the reduction of the sentence. (4) When an appeal has been filed against a sentence passed under section 64, section 65, section 66, section 67, section 68, section 70 or section 71 of the Bharatiya Nyaya Sanhita, 2023, the appeal shall be disposed of within a period of six months from the date of filing of such appeal."
419,Appeal in case of acquittal,"(1) Save as otherwise provided in sub-section (2), and subject to the provisions of sub-sections (3) and (5),— (a) the District Magistrate may, in any case, direct the Public Prosecutor to present an appeal to the Court of Session from an order of acquittal passed by a Magistrate in respect of a cognizable and non- bailable offence; (b) the State Government may, in any case, direct the Public Prosecutor to present an appeal to the High Court from an original or appellate order of acquittal passed by any Court other than a High Court not being an order under clause (a) or an order of acquittal passed by the Court of Session in revision. (2) If such an order of acquittal is passed in a case in which the offence has been investigated by any agency empowered to make investigation into an offence under any Central Act other than this Sanhita, the Central Government may, subject to the provisions of sub-section (3), also direct the Public Prosecutor to present an appeal— (a) to the Court of Session, from an order of acquittal passed by a Magistrate in re spect of a cognizable and non-bailable offence; (b) to the High Court from an original or appellate order of an acquittal passed by any Court other than a High Court not being an order under clause ( a) or an order of acquittal passed by the Court of Session in revision. (3) No appeal to the High Court under sub -section (1) or sub -section (2) shall be entertained except with the leave of the High Court."
420,Appeal against conviction by High C ourt in certain cases,"Where the High Court has, on appeal, reversed an order of acquittal of an accused person and convicted him and sentenced him to death or to imprisonment for life or to imprisonment for a term of ten years or more, he may appeal to the Supreme Court."
421,Special right of appeal in certain cases,"Notwithstanding anything in this Chapter, when more persons than one are convicted in one trial, and an appealable judgment or order has been passed in respect of any of such persons, all or any of the persons convicted at such trial shall have a right of appeal."
422,Appeal to Court of Session how heard,"(1) Subject to the pr ovisions of sub -section (2), an appeal to the Court of Session or Sessions Judge shall be heard by the Sessions Judge or by an Additional Sessions Judge: Provided that an appeal against a conviction on a trial held by a Magistrate of the second class may be heard and disposed of by the Chief Judicial Magistrate. (2) An Additional Sessions Judge or a Chief Judicial Magistrate shall hear only such appeals as the Sessions Judge of the division may, by general or special order, make over to him or as the High C ourt may, by special order, direct him to hear."
423,Petition of appeal,"Every appeal shall be made in the form of a petition in writing presented by the appellant or his advocate, and every such petition shall (unless the Court to which it is presented otherwise directs) be accompanied by a copy of the judgment or order appealed against."
424,Procedure when appellant in jail,"If the appellant is in jail, he may present his petition of appeal and the copies accompanying the same to the officer in charge of the jail, who shall thereupon forward such petition and copies to the proper Appellate Court."
